Type;A[Real|0.014|5.322];V[Real|0|2];B[Real|0|2];S[Real|4|371.428571428571];U[Real|0.874890638670166|877.19298245614];Ph[Real|0|877.19298245614];Pe[Real|0|43697.0338983051];L[Real|108|4551.72413793103]
Feasible;0.29;2.00;0.00;34.97;209.79;34.97;6713.29;1328.67
Feasible;0.18;2.00;0.00;55.87;698.32;279.33;8938.55;1631.28
Feasible;0.13;2.00;0.00;54.26;775.19;193.80;6976.74;1573.64
Feasible;0.71;0.00;0.00;28.01;70.03;0.00;0.00;570.03
Feasible;0.71;0.00;0.00;42.02;112.04;0.00;0.00;812.32
Feasible;0.36;2.00;0.00;42.25;211.27;0.00;0.00;673.24
Feasible;0.57;2.00;0.00;26.27;175.13;0.00;0.00;378.28
Feasible;0.09;2.00;0.00;81.40;290.70;116.28;0.00;1255.81
Feasible;0.08;2.00;0.00;121.95;60.98;12.20;0.00;926.83
Feasible;0.18;2.00;0.00;38.89;222.22;0.00;0.00;755.56
Feasible;0.89;2.00;0.00;39.41;78.83;0.00;0.00;636.26
Feasible;0.38;2.00;0.00;31.83;397.88;0.00;0.00;973.47
Feasible;0.37;0.00;0.00;67.39;269.54;26.95;1347.71;458.22
Feasible;0.68;2.00;0.00;14.68;146.84;73.42;2936.86;312.78
Feasible;0.28;2.00;0.00;35.59;355.87;177.94;0.00;526.69
Feasible;0.07;2.00;0.00;70.42;492.96;0.00;0.00;1549.30
Feasible;0.07;2.00;0.00;70.42;492.96;0.00;0.00;1830.99
Feasible;0.14;2.00;0.00;42.25;457.75;0.00;0.00;1049.30
Feasible;0.14;2.00;0.00;69.93;209.79;0.00;0.00;1090.91
Feasible;0.13;2.00;0.00;38.76;387.60;193.80;18023.26;767.44
Feasible;0.13;2.00;0.00;38.76;387.60;193.80;18023.26;666.67
Feasible;0.36;2.00;0.00;28.01;280.11;140.06;0.00;1117.65
Feasible;0.36;2.00;0.00;28.01;280.11;140.06;0.00;1201.68
Feasible;0.36;2.00;0.00;28.17;281.69;0.00;0.00;769.01
Feasible;0.36;2.00;0.00;42.02;252.10;0.00;0.00;336.13
Feasible;0.16;2.00;0.00;31.85;318.47;318.47;6369.43;859.87
Feasible;0.16;2.00;0.00;31.85;318.47;159.24;0.00;694.27
Feasible;0.71;2.00;0.00;42.02;210.08;70.03;0.00;742.30
Feasible;0.71;2.00;0.00;42.02;210.08;70.03;0.00;910.36
Feasible;0.29;2.00;0.00;52.45;349.65;69.93;0.00;944.06
Feasible;0.36;2.00;0.00;42.02;210.08;70.03;1820.73;638.66
Feasible;0.36;2.00;0.00;28.01;420.17;140.06;11204.48;742.30
Feasible;0.36;2.00;0.00;28.01;420.17;140.06;14005.60;602.24
Feasible;0.71;2.00;0.00;28.01;140.06;0.00;0.00;676.47
Feasible;0.71;2.00;0.00;28.01;140.06;0.00;0.00;613.45
Feasible;0.36;2.00;0.00;70.42;70.42;14.08;0.00;1267.61
Feasible;0.54;2.00;0.00;37.31;373.13;0.00;0.00;878.73
Feasible;0.64;2.00;0.00;24.88;233.28;77.76;0.00;746.50
Feasible;0.64;2.00;0.00;24.88;233.28;77.76;0.00;583.20
Feasible;0.36;0.00;0.00;56.02;140.06;28.01;0.00;1064.43
Feasible;0.36;2.00;0.00;56.02;280.11;140.06;0.00;966.39
Feasible;0.36;2.00;0.00;42.02;280.11;140.06;3361.34;952.38
Feasible;0.50;2.00;1.00;26.00;200.00;100.00;4000.00;626.00
Feasible;1.43;2.00;0.00;42.02;245.10;105.04;8823.53;829.83
Feasible;1.43;2.00;0.00;42.02;245.10;105.04;8823.53;533.61
Feasible;1.07;0.00;0.00;46.69;233.43;46.69;1400.56;1036.41
Feasible;1.07;1.00;0.00;46.69;233.43;46.69;1400.56;1218.49
Feasible;0.18;2.00;0.00;27.93;279.33;111.73;0.00;547.49
Feasible;0.09;2.00;0.00;44.44;111.11;0.00;0.00;955.56
Feasible;0.03;2.00;0.00;68.97;344.83;517.24;0.00;4551.72
Feasible;0.03;2.00;2.00;172.41;344.83;517.24;0.00;2758.62
Feasible;1.29;2.00;1.00;31.10;77.76;0.00;0.00;493.78
Feasible;1.29;2.00;1.00;31.10;116.64;0.00;0.00;348.37
Feasible;0.53;2.00;1.00;56.29;234.52;93.81;0.00;647.28
Feasible;0.36;0.00;1.00;42.25;352.11;70.42;1690.14;653.52
Feasible;0.57;2.00;2.00;87.57;262.70;87.57;8406.30;777.58
Feasible;0.57;2.00;0.00;52.54;262.70;87.57;7005.25;388.79
Feasible;0.36;2.00;0.00;42.02;42.02;0.00;0.00;929.97
Feasible;0.71;2.00;0.00;21.01;35.01;0.00;0.00;528.01
Feasible;1.07;2.00;0.00;28.17;234.74;0.00;0.00;849.77
Feasible;1.07;2.00;0.00;37.35;280.11;0.00;0.00;281.98
Feasible;0.54;2.00;0.00;28.04;280.37;93.46;5607.48;781.31
Feasible;0.54;2.00;0.00;28.04;280.37;93.46;5607.48;841.12
Feasible;0.36;2.00;0.00;42.02;210.08;0.00;0.00;887.96
Feasible;0.36;2.00;0.00;42.02;210.08;0.00;0.00;518.21
Feasible;0.36;2.00;0.00;56.02;56.02;0.00;0.00;910.36
Feasible;0.36;2.00;0.00;56.02;140.06;0.00;0.00;448.18
Feasible;0.36;2.00;0.00;39.22;196.08;140.06;4481.79;1075.63
Feasible;0.36;2.00;2.00;39.22;280.11;140.06;4481.79;518.21
Feasible;3.57;2.00;1.00;28.01;350.14;70.03;0.00;955.18
Feasible;3.57;2.00;1.00;350.14;350.14;70.03;0.00;493.00
Feasible;5.00;2.00;1.00;20.00;200.00;0.00;0.00;555.00
Feasible;3.57;2.00;0.00;35.00;196.02;84.01;2520.30;434.05
Feasible;0.71;2.00;0.00;35.01;280.11;140.06;4201.68;830.53
Feasible;0.71;2.00;0.00;35.01;280.11;140.06;4201.68;693.28
Feasible;0.56;2.00;0.00;35.71;133.93;44.64;0.00;475.00
Feasible;0.56;2.00;0.00;35.71;89.29;0.00;0.00;275.00
Feasible;0.36;2.00;0.00;56.02;210.08;70.03;0.00;1277.31
Feasible;1.00;2.00;0.00;30.00;200.00;0.00;0.00;456.00
Feasible;0.71;2.00;0.00;70.03;140.06;140.06;1680.67;574.23
Feasible;0.71;2.00;0.00;70.03;140.06;140.06;1680.67;338.94
Feasible;0.58;2.00;1.00;69.32;259.97;43.33;0.00;941.07
Feasible;0.58;1.00;1.00;51.99;1.73;0.00;0.00;417.68
Feasible;0.50;2.00;1.00;50.00;250.00;50.00;4200.00;648.00
Feasible;0.50;0.00;1.00;30.00;300.00;100.00;1300.00;772.00
Feasible;0.50;2.00;0.00;60.00;200.00;200.00;4000.00;860.00
Feasible;0.50;2.00;0.00;60.00;100.00;100.00;0.00;624.00
Feasible;0.50;2.00;1.00;60.00;150.00;50.00;0.00;630.00
Feasible;0.50;2.00;1.00;30.00;100.00;0.00;0.00;1134.00
Feasible;0.36;2.00;1.00;42.02;280.11;70.03;0.00;560.22
Feasible;0.50;2.00;0.00;50.00;100.00;0.00;0.00;538.00
Feasible;0.71;2.00;0.00;84.03;665.27;70.03;4201.68;728.29
Feasible;0.36;2.00;0.00;84.03;560.22;70.03;4201.68;549.02
Feasible;0.21;2.00;0.00;38.10;476.19;119.05;2380.95;909.52
Feasible;0.21;2.00;0.00;38.10;95.24;0.00;0.00;976.19
Feasible;0.21;2.00;0.00;46.73;70.09;0.00;0.00;542.06
Feasible;0.29;0.00;0.00;20.98;3.50;0.00;0.00;1157.34
Feasible;0.36;2.00;0.00;56.02;210.08;0.00;2801.12;638.66
Feasible;0.36;2.00;0.00;42.02;140.06;0.00;0.00;532.21
Feasible;5.32;1.00;1.00;58.25;84.55;14.09;14.09;897.03
Feasible;2.90;2.00;1.00;55.21;103.52;17.25;172.53;694.27
Feasible;2.92;2.00;1.00;59.53;256.59;51.32;821.07;951.76
Feasible;2.13;2.00;0.00;46.95;70.42;0.00;0.00;1129.58
Feasible;1.29;2.00;2.00;73.87;466.56;155.52;1555.21;855.37
Feasible;0.36;2.00;0.00;42.02;56.02;14.01;0.00;509.80
Feasible;1.82;2.00;1.00;63.19;263.74;52.20;0.00;814.84
Feasible;1.47;2.00;1.00;30.61;129.25;23.81;0.00;449.66
Feasible;2.10;2.00;1.00;19.05;107.14;11.90;714.29;1222.86
Feasible;1.43;1.00;0.00;34.99;104.97;34.99;0.00;421.97
Feasible;3.93;2.00;0.00;35.12;203.61;178.16;1908.88;878.09
Feasible;1.79;2.00;0.00;35.27;139.98;0.00;0.00;613.66
Feasible;0.06;2.00;0.00;83.33;666.67;166.67;0.00;1500.00
Feasible;0.06;2.00;0.00;133.33;416.67;0.00;0.00;2216.67
Feasible;0.07;2.00;0.00;28.57;357.14;0.00;0.00;1928.57
Feasible;0.07;2.00;0.00;42.25;281.69;28.17;14084.51;1154.93
Feasible;2.49;2.00;2.00;38.11;220.62;120.34;4211.79;653.03
Feasible;1.71;2.00;0.00;37.92;218.79;72.93;4200.70;445.74
Feasible;1.36;2.00;1.00;55.31;110.62;0.00;0.00;525.81
Feasible;0.64;2.00;1.00;39.18;156.74;0.00;0.00;578.37
Feasible;0.57;2.00;1.00;43.71;262.24;87.41;2622.38;583.92
Feasible;0.29;0.00;0.00;87.72;3.51;0.00;0.00;649.12
Feasible;1.00;2.00;0.00;70.00;250.00;50.00;1500.00;696.00
Feasible;1.00;2.00;0.00;30.00;150.00;50.00;0.00;530.00
Feasible;0.50;2.00;1.00;40.32;241.94;20.16;0.00;862.90
Feasible;0.29;0.00;1.00;34.97;3.50;0.00;0.00;618.88
Feasible;0.36;2.00;1.00;50.42;420.17;140.06;0.00;1098.04
Feasible;0.10;2.00;0.00;61.22;255.10;0.00;0.00;1122.45
Feasible;0.14;2.00;0.00;174.83;174.83;174.83;10489.51;1132.87
Feasible;0.14;2.00;0.00;69.93;174.83;174.83;10489.51;1069.93
Feasible;3.50;2.00;1.00;40.00;200.00;57.14;88.57;1203.71
Feasible;1.00;2.00;1.00;30.00;200.00;0.00;2000.00;357.00
Feasible;3.59;2.00;1.00;58.50;278.55;27.86;891.36;1068.52
Feasible;0.84;2.00;0.00;35.71;238.10;29.76;0.00;414.29
Feasible;3.00;2.00;0.00;53.33;300.00;33.33;1466.67;779.00
Feasible;3.00;2.00;0.00;30.00;200.00;33.33;866.67;750.00
Feasible;0.28;2.00;1.00;42.86;214.29;35.71;714.29;1060.71
Feasible;0.28;0.00;1.00;28.57;89.29;0.00;0.00;471.43
Feasible;0.20;2.00;1.00;60.00;400.00;100.00;0.00;655.00
Feasible;0.28;2.00;1.00;28.57;267.86;0.00;0.00;464.29
Feasible;0.20;2.00;0.00;80.00;375.00;125.00;6000.00;1255.00
Feasible;0.20;2.00;0.00;80.00;125.00;0.00;3000.00;985.00
Feasible;1.00;2.00;1.00;75.00;250.00;50.00;800.00;896.00
Feasible;1.00;2.00;1.00;70.00;200.00;50.00;0.00;559.00
Feasible;1.00;2.00;1.00;20.00;300.00;100.00;300.00;576.00
Feasible;1.00;2.00;1.00;40.00;300.00;100.00;1800.00;377.00
Feasible;1.57;2.00;0.00;31.83;318.27;63.65;5092.30;779.12
Feasible;1.57;2.00;0.00;25.46;222.79;95.48;4774.03;381.92
Feasible;0.29;2.00;0.00;34.97;174.83;34.97;0.00;1020.98
Feasible;0.29;2.00;0.00;34.97;87.41;0.00;0.00;723.78
Feasible;0.14;2.00;0.00;70.42;352.11;0.00;0.00;1042.25
Feasible;0.28;2.00;0.00;28.57;35.71;0.00;0.00;660.71
Feasible;0.14;2.00;0.00;55.94;356.64;174.83;12587.41;867.13
Feasible;0.14;2.00;0.00;34.97;174.83;174.83;12587.41;713.29
Feasible;0.77;0.00;1.00;38.86;64.77;12.95;0.00;792.75
Feasible;0.35;0.00;1.00;28.41;71.02;0.00;0.00;815.34
Feasible;0.86;0.00;1.00;69.93;116.55;46.62;0.00;601.40
Feasible;0.36;0.00;0.00;33.61;84.03;0.00;0.00;369.75
Feasible;0.57;2.00;0.00;143.36;262.24;118.88;1573.43;1524.48
Feasible;0.57;2.00;0.00;34.97;192.31;69.93;1748.25;692.31
Feasible;0.11;2.00;0.00;27.27;363.64;0.00;0.00;963.64
Feasible;0.11;2.00;0.00;27.27;363.64;0.00;0.00;700.00
Feasible;0.21;2.00;0.00;23.36;233.64;46.73;0.00;542.06
Feasible;0.14;2.00;0.00;34.97;174.83;0.00;0.00;1699.30
Feasible;0.07;2.00;0.00;98.59;704.23;281.69;35211.27;1577.46
Feasible;0.07;2.00;0.00;70.42;352.11;140.85;0.00;887.32
Feasible;0.43;1.00;1.00;32.63;209.79;23.31;2097.90;529.14
Feasible;0.29;2.00;1.00;31.47;139.86;0.00;0.00;356.64
Feasible;0.97;2.00;1.00;41.45;233.16;103.63;207.25;505.70
Feasible;0.29;2.00;0.00;34.97;349.65;174.83;524.48;646.85
Feasible;0.71;2.00;0.00;30.81;175.07;175.07;2521.01;962.18
Feasible;0.96;2.00;0.00;29.05;207.47;207.47;2800.83;415.98
Feasible;4.07;1.00;0.00;61.43;147.42;0.00;0.00;767.57
Feasible;0.14;2.00;0.00;20.98;174.83;0.00;0.00;832.17
Feasible;3.64;2.00;0.00;54.90;109.80;0.00;0.00;804.56
Feasible;0.29;2.00;0.00;34.97;262.24;0.00;0.00;664.34
Feasible;0.29;2.00;0.00;87.41;349.65;174.83;0.00;559.44
Feasible;0.29;2.00;0.00;41.96;244.76;157.34;0.00;527.97
Feasible;1.14;1.00;0.00;35.00;0.87;0.00;0.00;824.15
Feasible;0.14;2.00;0.00;13.99;6.99;0.00;0.00;664.34
Feasible;0.50;0.00;0.00;40.00;2.00;0.00;0.00;896.00
Feasible;0.14;0.00;0.00;69.93;174.83;0.00;0.00;1713.29
Feasible;0.71;2.00;0.00;117.65;210.08;70.03;4201.68;537.82
Feasible;0.43;2.00;0.00;93.24;349.65;116.55;0.00;540.79
Feasible;0.64;1.00;1.00;23.58;31.45;0.00;0.00;561.32
Feasible;0.14;0.00;1.00;20.98;69.93;0.00;0.00;580.42
Feasible;0.50;0.00;1.00;30.00;200.00;0.00;0.00;872.00
Feasible;0.14;0.00;0.00;104.90;699.30;0.00;0.00;2440.56
Feasible;0.21;2.00;0.00;23.36;186.92;46.73;7009.35;560.75
Feasible;0.21;2.00;0.00;18.69;116.82;23.36;0.00;373.83
Feasible;0.29;2.00;0.00;27.97;349.65;41.96;699.30;692.31
Feasible;0.29;0.00;0.00;31.47;34.97;0.00;0.00;545.45
Feasible;0.29;2.00;0.00;34.97;349.65;87.41;699.30;783.22
Feasible;0.29;1.00;0.00;41.96;174.83;34.97;0.00;1069.93
Feasible;0.79;2.00;0.00;38.17;381.68;127.23;13867.68;595.42
Feasible;0.29;2.00;0.00;34.97;349.65;174.83;6993.01;531.47
Feasible;1.28;2.00;1.00;45.31;171.88;58.59;0.00;546.09
Feasible;1.28;2.00;1.00;23.44;78.13;0.00;0.00;314.06
Feasible;0.71;2.00;1.00;21.01;350.14;70.03;0.00;773.11
Feasible;0.71;2.00;0.00;28.17;211.27;70.42;0.00;602.82
Feasible;0.71;2.00;2.00;84.03;420.17;70.03;1400.56;596.64
Feasible;0.71;2.00;0.00;56.02;140.06;140.06;2100.84;722.69
Feasible;0.06;2.00;0.00;109.38;312.50;0.00;0.00;1359.38
Feasible;0.06;2.00;0.00;93.75;156.25;0.00;0.00;890.63
Feasible;0.28;2.00;0.00;64.29;214.29;0.00;0.00;892.86
Feasible;0.13;2.00;0.00;70.31;390.63;195.31;0.00;921.88
Feasible;0.06;2.00;0.00;228.07;877.19;877.19;17543.86;1754.39
Feasible;0.06;2.00;0.00;87.72;877.19;877.19;0.00;2192.98
Feasible;0.28;2.00;1.00;35.71;285.71;89.29;0.00;782.14
Feasible;0.28;2.00;1.00;35.71;142.86;0.00;0.00;703.57
Feasible;0.36;2.00;1.00;50.42;140.06;70.03;0.00;705.88
Feasible;0.36;2.00;0.00;56.02;280.11;0.00;0.00;935.57
Feasible;1.43;2.00;0.00;27.99;174.95;34.99;2099.37;687.19
Feasible;1.43;2.00;0.00;14.00;104.97;34.99;0.00;608.82
Feasible;0.07;2.00;0.00;42.86;285.71;0.00;0.00;1285.71
Feasible;0.07;2.00;0.00;42.86;142.86;0.00;0.00;657.14
Feasible;0.14;2.00;0.00;42.25;211.27;0.00;0.00;887.32
Feasible;0.07;0.00;0.00;70.42;98.59;42.25;0.00;1366.20
Feasible;0.36;2.00;0.00;70.03;210.08;70.03;0.00;1075.63
Feasible;0.36;2.00;0.00;16.81;70.03;8.40;0.00;627.45
Feasible;0.14;0.00;1.00;42.86;178.57;35.71;1785.71;1214.29
Feasible;0.14;0.00;1.00;42.86;178.57;35.71;1785.71;1214.29
Feasible;0.15;0.00;1.00;33.33;166.67;33.33;466.67;1173.33
Feasible;0.15;0.00;0.00;40.00;166.67;66.67;2000.00;1046.67
Feasible;0.43;0.00;0.00;44.29;349.65;116.55;699.30;1261.07
Feasible;0.43;0.00;0.00;44.29;349.65;116.55;1165.50;1354.31
Feasible;0.18;0.00;0.00;27.78;111.11;111.11;0.00;588.89
Feasible;0.18;0.00;0.00;27.78;111.11;111.11;0.00;666.67
Feasible;0.08;0.00;0.00;50.00;187.50;0.00;0.00;1075.00
Feasible;0.09;0.00;0.00;58.14;174.42;58.14;0.00;1058.14
Feasible;0.07;2.00;0.00;13.51;67.57;67.57;0.00;540.54
Feasible;0.01;0.00;0.00;71.43;357.14;357.14;0.00;1214.29
Feasible;0.19;0.00;0.00;37.84;81.08;0.00;0.00;486.49
Feasible;0.18;0.00;0.00;371.43;85.71;0.00;0.00;514.29
Feasible;0.12;0.00;0.00;25.00;166.67;41.67;0.00;966.67
Feasible;0.08;0.00;0.00;37.50;250.00;0.00;0.00;2275.00
Feasible;0.18;0.00;0.00;27.93;223.46;0.00;0.00;737.43
Feasible;0.18;0.00;0.00;27.93;223.46;0.00;0.00;703.91
Feasible;0.57;0.00;0.00;31.52;350.26;43.78;0.00;761.82
Feasible;0.57;0.00;0.00;31.52;350.26;43.78;0.00;1133.10
Feasible;0.57;0.00;0.00;43.86;263.16;43.86;1315.79;2080.70
Feasible;0.70;0.00;0.00;35.71;214.29;78.57;0.00;805.71
Feasible;1.66;0.00;0.00;26.46;402.89;162.36;0.00;808.78
Feasible;1.66;0.00;0.00;26.46;402.89;165.97;0.00;889.36
Feasible;0.50;0.00;2.00;16.00;200.00;40.00;0.00;612.00
Feasible;0.50;0.00;2.00;16.00;200.00;40.00;0.00;614.00
Feasible;0.58;1.00;2.00;20.87;286.96;104.35;0.00;944.35
Feasible;0.38;0.00;1.00;26.67;200.00;66.67;0.00;1056.00
Feasible;0.42;1.00;0.00;33.33;238.10;119.05;0.00;1433.33
Feasible;0.42;1.00;0.00;42.86;238.10;119.05;0.00;1654.76
Feasible;0.36;0.00;0.00;27.78;208.33;69.44;0.00;738.89
Feasible;0.36;0.00;0.00;27.78;208.33;69.44;0.00;738.89
Feasible;0.18;0.00;0.00;44.69;111.73;83.80;0.00;620.11
Feasible;0.19;0.00;0.00;51.81;362.69;181.35;0.00;1580.31
Feasible;0.19;0.00;0.00;51.81;362.69;181.35;0.00;1450.78
Feasible;0.92;0.00;0.00;32.61;326.09;108.70;1086.96;697.83
Feasible;0.92;0.00;0.00;32.61;326.09;108.70;1086.96;806.52
Feasible;0.38;0.00;0.00;16.00;200.00;66.67;1200.00;466.67
Feasible;0.54;2.00;0.00;13.08;130.84;56.07;934.58;715.89
Feasible;0.52;0.00;0.00;48.17;298.65;57.80;0.00;784.20
Feasible;0.60;0.00;0.00;41.39;256.62;49.67;0.00;716.89
Feasible;0.30;0.00;1.00;20.00;66.67;16.67;0.00;1183.33
Feasible;0.30;0.00;1.00;20.00;66.67;16.67;0.00;1183.33
Feasible;0.15;0.00;1.00;33.33;300.00;133.33;0.00;1440.00
Feasible;0.05;0.00;0.00;60.00;120.00;80.00;0.00;2460.00
Feasible;0.03;0.00;0.00;33.33;266.67;66.67;0.00;1333.33
Feasible;0.03;0.00;0.00;33.33;266.67;66.67;0.00;1333.33
Feasible;0.70;0.00;0.00;22.86;71.43;35.71;1142.86;555.71
Feasible;0.70;0.00;0.00;22.86;71.43;35.71;1142.86;598.57
Feasible;0.39;0.00;0.00;38.46;153.85;38.46;0.00;705.13
Feasible;0.50;0.00;0.00;14.00;100.00;30.00;0.00;406.00
Feasible;0.51;0.00;0.00;29.41;196.08;98.04;0.00;619.61
Feasible;0.51;0.00;0.00;29.41;196.08;98.04;0.00;747.06
Feasible;0.71;0.00;0.00;25.35;211.27;77.46;0.00;645.07
Feasible;0.71;0.00;0.00;25.35;211.27;70.42;0.00;638.03
Feasible;0.39;0.00;0.00;25.97;168.83;51.95;0.00;581.82
Feasible;0.75;0.00;0.00;16.00;100.00;33.33;0.00;320.00
Feasible;0.56;0.00;0.00;32.32;206.46;26.93;0.00;551.17
Feasible;0.56;0.00;0.00;32.32;206.46;26.93;0.00;982.05
Feasible;0.35;0.00;0.00;20.00;214.29;71.43;2857.14;731.43
Feasible;0.35;0.00;0.00;20.00;214.29;71.43;2857.14;760.00
Feasible;0.02;0.00;0.00;100.00;250.00;100.00;0.00;1250.00
Feasible;0.28;0.00;0.00;42.55;106.38;35.46;0.00;1528.37
Feasible;0.07;0.00;0.00;27.40;164.38;41.10;0.00;1287.67
Feasible;0.04;0.00;0.00;46.51;279.07;69.77;0.00;2837.21
Feasible;0.18;0.00;1.00;38.89;361.11;111.11;3777.78;850.00
Feasible;0.18;0.00;1.00;38.89;361.11;111.11;3777.78;1044.44
Feasible;0.19;0.00;1.00;36.27;259.07;51.81;0.00;590.67
Feasible;0.19;0.00;0.00;46.63;259.07;103.63;0.00;1217.62
Feasible;0.15;0.00;0.00;13.42;33.56;13.42;0.00;731.54
Feasible;0.05;0.00;0.00;40.82;102.04;40.82;0.00;2775.51
Feasible;0.18;0.00;0.00;22.35;139.66;0.00;0.00;569.83
Feasible;0.18;0.00;0.00;22.35;139.66;0.00;0.00;765.36
Feasible;0.18;0.00;0.00;44.69;139.66;0.00;0.00;1027.93
Feasible;0.18;0.00;0.00;22.35;139.66;0.00;0.00;1234.64
Feasible;0.81;0.00;0.00;44.23;233.42;43.00;0.00;997.54
Feasible;0.64;0.00;0.00;44.03;322.33;55.03;0.00;1128.93
Feasible;0.08;0.00;0.00;12.50;100.00;50.00;0.00;825.00
Feasible;0.03;0.00;0.00;66.67;400.00;100.00;0.00;2966.67
Feasible;0.04;0.00;0.00;50.00;250.00;125.00;0.00;1525.00
Feasible;0.08;0.00;0.00;37.50;187.50;62.50;0.00;1500.00
Feasible;0.08;0.00;0.00;37.50;250.00;62.50;0.00;2062.50
Feasible;0.67;0.00;0.00;26.87;111.94;37.31;746.27;888.06
Feasible;0.67;0.00;0.00;26.87;111.94;37.31;746.27;888.06
Feasible;0.38;0.00;0.00;37.33;133.33;66.67;1200.00;394.67
Feasible;0.36;0.00;0.00;47.89;140.85;70.42;0.00;1090.14
Feasible;0.07;0.00;0.00;42.86;500.00;214.29;0.00;2257.14
Feasible;0.07;0.00;0.00;42.86;500.00;214.29;0.00;2257.14
Feasible;0.52;0.00;0.00;38.46;144.23;48.08;480.77;298.08
Feasible;0.52;0.00;0.00;19.23;144.23;48.08;480.77;403.85
Feasible;0.54;2.00;0.00;37.31;223.88;55.97;932.84;641.79
Feasible;0.54;0.00;0.00;37.31;186.57;37.31;0.00;639.93
Feasible;0.43;0.00;0.00;28.10;281.03;58.55;2341.92;847.78
Feasible;0.43;0.00;0.00;28.04;268.69;70.09;0.00;841.12
Feasible;0.53;0.00;0.00;37.45;187.27;46.82;0.00;513.11
Feasible;0.53;0.00;0.00;37.45;187.27;46.82;0.00;668.54
Feasible;0.14;0.00;0.00;21.43;357.14;71.43;0.00;685.71
Feasible;0.15;0.00;0.00;33.33;200.00;33.33;0.00;786.67
Feasible;0.11;0.00;0.00;46.73;373.83;93.46;0.00;1476.64
Feasible;0.11;0.00;0.00;46.73;373.83;93.46;0.00;1383.18
Feasible;0.17;0.00;0.00;46.78;175.44;29.24;0.00;1005.85
Feasible;0.17;0.00;0.00;46.78;175.44;29.24;0.00;1438.60
Feasible;0.03;0.00;0.00;71.43;357.14;178.57;0.00;1892.86
Feasible;0.14;0.00;1.00;69.93;349.65;349.65;0.00;1825.17
Feasible;0.22;1.00;0.00;22.62;253.39;85.97;0.00;502.26
Feasible;0.22;0.00;0.00;22.62;253.39;85.97;0.00;502.26
Feasible;0.70;0.00;0.00;21.43;285.71;71.43;1142.86;800.00
Feasible;0.70;0.00;0.00;21.43;285.71;71.43;1142.86;844.29
